character,content,scene,sound,Cmt
X,X,X,X,"Phim hay, đáng xem nha mn. Phần 1 vs 2 đều hay, có ý nghĩa riêng"
X,X,X,X,"Khúc sau đc ăn bưởi luôn :))) Phim hay kịch tính, 9,5 điểm i ủng hộ phim Việt"
X,X,O,N,Bối cảnh hoành tráng nhưng âm thanh đơn điệu làm giảm sự ấn tượng.
X,X,X,X,Đi xem về lụy ẻ huuuuhuu 🥹 coi mấy lần mà ko biết chán 🤗🤗🤗
X,X,P,X,"Bộ phim hay đầy kịch tính, có những pha hành động quyết liệt rất đáng để xem!"
P,X,P,P,"Phim rất hài hước và khiến mình cười suốt. LORD SHEN xuất hiện chỉ trong vài giây mà vẫn tạo được ấn tượng mạnh. Tuy nhiên, tiếc là các nhân vật khác trong nhóm chỉ xuất hiện một chút, không đủ để gây ấn tượng lớn. Âm thanh trong phim cũng rất hay, nhạc nền và âm thanh xung quanh đều hỗ trợ tốt cho các tình huống vui nhộn và hành động."
X,X,X,O,"Vui , sống động nhất quả lồng tiếng ông nhà zua"
P,P,P,P,"Cốt truyện ổn, kết nối phần trước. Nhân vật chính hài hước. Mở đầu hoành tráng nhưng kết thúc hụt hẫng. Phản diện mạnh nhưng xử lý đơn giản. Đồ họa, âm thanh ấn tượng."
P,P,X,X,"Phim rất rất rất là cảm động luôn, lần đầu tiên xem phim rạp mà khóc từ đầu tới cuối 😭 nhất định phải xem nha mng ơi"
P,X,X,X,OTP keo lắm chị em đi coi lẹ ❤️❤️
P,P,X,X,Phim nội dung hay cảm động 🥰 Đặc biệt đi coi vì có chú Hoài Linh 🫶🏻
X,P,X,X,"Phim rất hay, đáng xem, cười 5 thì khóc 10. Xem phim thấy câu nói này quá đúng đó là “Mỗi cây mỗi hoa mỗi nhà mỗi cảnh”, Qtrong là gia đình mình luôn cố gắng nỗ lực, đoàn kết, gắn bó và yêu thương nhau thì sẽ vượt qua mọi khó khăn kia. Nội dung hay"
X,N,X,X,chắc do mình xem tết ở làng địa ngục cả rồi nên cảm giác kẻ ăn hồn nội dung ko đủ gây cấn.
O,X,X,X,Các diễn viên tuy không quá xuất sắc nhưng vẫn làm tốt vai trò của mình.
O,X,X,X,"Các nhân vật phụ hoàn thành tốt vai trò của mình, nhưng không để lại dấu ấn."
X,P,P,X,"Bộ phim khá ổn về mặt nội dung, hình ảnh quay đẹp làm nổi bật được vẻ đẹp vùng quê. Cái kết theo bản thân mình thì trọn vẹn về mặt cảm xúc."
X,X,X,X,Phim hay tìm tội phạm nhưng cũng mang yếu tố hài hước. Đáng để giải trí.
N,X,X,X,Không cảm nhận được chút cảm xúc nào từ diễn viên.
X,P,P,P,"Phim vẫn hay như bao movie trướcc. Cảnh hành động thì đỉnh khỏi phải bàn. Vụ án cũng khá dễ đoán, thành viên mới của tổ chức dễ bị tiêu diệt nhưng mà tình tiết nội dung rất hợp lí. Cũng có nhiều người chê không hay nhựg mình chắc chắn sẽ đi coi lại lần 2. 🥰 Âm thanh sống động"
O,X,X,X,"Diễn viên chính thể hiện đúng tính cách nhân vật, nhưng chưa tạo được sự đồng cảm."
X,X,X,X,Nói chung là nhện k biết bắn tơ k nên xem phí thời gian
O,N,N,X,Theo bản thân mình thấy phim chỉ dành cho những ai muốn xem phim giải trí. Còn về kịch bản nhiều chi tiết phim quá vô lý so với thực tế. Nhiều đoạn không logic với nhau. Diễn viên tạm. Kịch Bản KHÔNG hay.
X,X,O,X,"Mình coi phim rạp trước giờ chưa từng khóc trong rạp như này, có thể những bộ phim trước mình xem nó hay về kịch bản nhưng để chạm cảm xúc của mình thì chưa. Bộ phim này mình khóc xuyên suốt từ đầu đến cuối. Sẽ có việc bạn vừa khóc cảnh trước nhưng sang cảnh"
P,O,P,X,"Thứ đọng lại là visual anh HaeIn đỉnh nóc kịch trần, phim cũng hay lắm mặc dù chưa có cao trào, mấy cảnh đấm nhau coi thích mắt kinh khủng. phim 9đ, cộng 1đ cho nụ cười của anh Ỉn 😆😆"
X,P,X,X,"Phim rất hay nhẹ nhàng với mạch phim chậm, ít tình tiết cao trào nhưng lại ẩn chứa rất nhiều ý nghĩa. Hôm mình đi xem phim là đi một mình nên cảm thấy rất hợp."
P,X,P,P,"Chàaaa! Một bộ phim đẹp, thơ, thật và nhiều cảm xúc. Diễn xuất của dàn cast rất đỉnh, đặc biệt là c Da Mi và c So Nee. Ai mê cái vibe thơ mộng, mơ màng, thanh thuần của mùa hè trên 1 hòn đảo thì sẽ thấy phim ""tả"" rất tốt qua những khung hình và âm nhạc ở 1"
P,P,X,X,"Phim nội dung hay lắm ạ , ko uổng công mình chờ để đặt vé như này Mn nhớ ủng hộ bé Fubao nha , bé cưng ,cute lém á 😍😍😍😍"
X,N,X,X,Cốt truyện nhạt
X,P,P,X,Hic xem ở nhà cả chục lần khóc lên khóc xuống. Chiếu rạp chắc khóc trôi rạp mất. Đáng xem. Bộ phim hay cảm động. Nhiều cảm xúc
X,X,X,X,Hù hơi nhiều 😑
X,X,X,P,nhạc xịn
X,P,X,X,"Lật Mặt 7: ""Một Điều Ước"" - Dù giờ con đã lớn khôn nhưng vẫn nhỏ bé khi ở bên cạnh mẹ. Cảm ơn vì vẫn còn Mẹ Nay mình đi coi suất chiếu sớm. Phim mang ý nghĩa về gia đình rất lớn. Dù có lớn lên, có đi đâu thì Mẹ vẫn là người luôn mong chờ mình về nhà. Cảm ơn"
P,P,X,P,"Aquaman có một kết thúc tạm ổn, nhưng nếu thêm trận chiến hoành tráng với trùm cuối sẽ hấp dẫn hơn. James Wan chọn kết thúc an toàn để giảm rủi ro. Diễn xuất tốt, mối quan hệ Orm và Arthur được khắc họa rõ nét. Âm thanh sống động, tạo kịch tính. Đáng xem."
X,X,X,X,"Xem thấy tức, lôi cuốn vô cùng. Thích mac không dám nói ra."
P,P,P,X,"Phần hình: 10/10, diễn viên đẹp, mê anh diễn viên chính Phần kĩ xảo: 10/10, kết hợp xem IMAX nữa nên càng ấn tượng Phần cốt truyện: Với mình thì khá dài và lê thê nhưng cốt truyện hợp lý, phần cuối hơi cụt ngang, nhiều diễn viên xuất hiện liên tục nên bị"
P,P,P,X,"Diễn biến phim đi chậm, nhẹ nhàng, cảm giác rất thoải mái khi xem. Cảnh phim thật sự rất ấm, đẹp lắm í, diễn viên cũng làm rất tốt vai diễn của mình. Xem rồi mà vẫn xao xuyến mãi thôi, nc là phim rất hợp gu mình"
X,X,X,X,"đây là lần thứ 2 xem phim, không hiểu sao phim lại buồn đến nỗi mình lại khóc lần nữa, nhà làm phim đã chạm đến cảm xúc của mình gòiiii"
P,P,X,X,"diễn viên đóng hay, nội dung okla"
O,N,N,X,"Phim hoạt hình nhân văn, học được vài câu nói thoại trong phim. Nhưng cái kết chưa đủ kịch tính, cứ nghĩ là sẽ có trận đấu khủng khiếp giữa tắc kè hoa và Po nhưng chỉ vỏn vẹn trong 5-10p là kết thúc. Cái kết quá nhanh nên cuối phim không để lại ấn tượng gì ."
O,O,O,X,"Phim hay,nhiều hình ảnh rợn người nếu mà nói giữa TOLDN và KAH thì nên xem TOLDN hơn vì phim nhiều nội dung;hình ảnh đậm chất kinh dị hơn,về KAH thì đôi lúc cảm thông cho số phận của những người trong làng ;nv mỗi ng 1 hoàn cảnh từ già đến trẻ;hình ảnh hoạ"
N,X,X,X,"Diễn xuất yếu kém, làm mất hứng khi xem."
O,O,X,X,"Phim hay, là điểm sáng của Marvel trong năm nay. Phim là sự hoài niệm về loạt phim X-Mens - điểm bắt đầu của những diễn viên huyền thoại."
X,X,X,X,Good
P,X,O,X,"Mới đi xem về , khóc hết nước mắt với em bé , em bé nhỏ có biết gì đâu ,mong đoạn đường sau của em chỉ toàn là kẹo ngọt"
X,X,X,O,"Âm thanh tổng thể của phim đạt mức trung bình, không gây khó chịu."
X,X,X,X,"Phim hay, nhưng 18+ mà Mega GS để đứa nhỏ chưa hết cấp 1 vào xem 🤧"
P,X,X,X,Võ Điền Gia Huy đẹp trai quá chịu hủm nủi
X,N,N,N,"Thiết nghĩ bộ phim này nên để thêm tag là ""hài hước"" chứ xem phim nhảm từ đầu tới cuối, như một bộ phim ba xu lấy ý tưởng mỗi nơi một tý chắp vá lại thành bộ này. Năm 2024 xem phim kinh dị mà chất lượng kém xa những bộ năm 2000, ma còn đánh phấn bệch bệch nom hề nhạt lắm luôn trời ạ 💆🏻‍♀️ Nội dung rời rạc, nhiều sạn, cái sound effect nó còn rất là hỏi chấm ?? mỗi cảnh một nền nhạc khác nhau, y như một nồi cám heo, không hơn, lần đầu thấy một bộ phim nhảm nhí đến vậy. Cả bộ phim không có điểm nhấn một chút nào. 1 điểm."
N,X,X,X,"Trời ơi chưa bao giờ đánh giá 1 bộ phim nào, nhưng phải đánh giá bộ phim này vì diễn quá dở"
N,X,X,X,Diễn viên không đủ sức thể hiện được những phân cảnh cảm động.
X,X,X,O,"Nội dung đáng yêu, nghe nhạc xã stress"
X,N,X,X,"phim quá dở, như 1 cá kịch bản thập cẩm"
N,P,P,O,"Cái dàn mấy đứa con gái đằng sau nó la muốn banh rạp luôn 🥶 Phim ghê nha, jumpcare nhiều,sợ mà xen kẻ hài hước nên không quá nặng nề, nội dung ổn. Diễn viên tròn vai trừ ông bố, ông bố đơ từ p1 đến giờ 😃 với cũng có mấy diễn viên hơi thừa"
O,O,O,P,Coi lần 2 sẻ có lần 3 chưa bộ nào mình coi 3 lần t xem phim lồng tiếng ok nha giống y chan gia đình tui hình ảnh bà ăn thức ăn thừa hình ảnh bà ngống trong con về hình ảnh bà nằm hỏi ai vậy bây ôi quá nhiều hình ảnh quá
O,X,P,X,"Phim cũng bth, sử dụng hiệu ứng nhiều. Mình ấn tượng với nội dung là ở đoạn kết phim. N9 nói với nữ 9 là anh vẫn yêu e tới khi còn thở. Nhưng 5p sau đã nói sẽ kết hôn với nữ thứ vì nữ thứ là con của hoàng đế. Xem đúng ngày 8/3 và nhìn biểu cảm cay cú của nữ 9 nên thấy hài hài"
P,P,O,X,"Đây là cảm nhận riêng của mình, bộ phim rất hay, ngta: cảm ơn vì đã k đợi em, còn tôi cảm ơn vì đã yêu em, năm tháng ấy cta da het mình rồi, 4 năm chứ k phải 2 năm k ai là quá đáng trách, trước khi đi xem phim mk nghe cứ tưởng 2 namnu9 hẹn hò nhưng nam9 phản bội , nhưng s khi coi phim lắng động trong tôi, chỉ có tình cảm hết mình nồng cháy ấy"
X,X,N,X,"Các bối cảnh tạo cảm giác chân thực, nhưng không thực sự đặc sắc."
P,P,X,X,"Phim cốt truyện cực hay lun,nhân vật B làm cho bộ phim nhìu tiếng cười,đáng xem nhaz mn"
N,P,P,P,"Điểm cộng: - Màu sắc, âm thanh phim chất lượng hoành tráng, đúng chất núi non, bản làng - Cốt truyện rõ ràng (có mở & kết) - Mang đậm chất kinh dị (máu me full HD) Điểm trừ: - Diễn viên chính (vai chồng) giọng đọc khó nghe, có vẻ chưa khớp với nhịp, cảm thấy"
X,X,X,O,Lồng tiếng không quá xuất sắc nhưng cũng không gây cảm giác khó chịu.
X,X,X,N,"Tiếng lồng tiếng bị lệch với khẩu hình nhân vật, tạo cảm giác không tự nhiên."
N,X,X,X,Biểu cảm gượng ép khiến người xem cảm giác xa lạ với nhân vật.
X,X,X,N,"Một số cảnh có tiếng vang quá lớn, làm mất đi cảm giác chân thực."
X,X,X,X,"Masterpiece! Như thường lệ với các tác phẩm của Scorsese, hãy chuẩn bị một tâm thế thật thoải mái, không vướng bận để dính chặt trên ghế gần 3 tiếng rưỡi đồng hồ, lắng nghe câu chuyện về một giai đoạn lịch sử đẫm máu hoang dại của nước Mỹ. Không phải bàn về"
P,X,X,X,Phim Hay Cảm Động . Xem Phim Là 9 . Ủng Hộ Chú Quyền Linh là 10 . Mọi Người Nên Đi Xem Nha 🫶🏻🫶🏻❤️❤️
P,X,X,P,"Vì giới hạn từ nên nhận xét nhanh, phim không hoàn hảo, không đủ để nói với mọi người phim hay lắm, nhưng nhạc phim cảm động, diễn xuất diễn viên đủ nhập tâm mình cảm nhận được, đừng xem nó dựa trên quy chuẩn của phiên bản nào khác, chỉ xem phim hiểu phim với"
X,X,X,X,"Nói nhiều, nhảm."
X,N,X,P,"tạm, nhạc hay, nội dung nhạt ko có gì kịch tính"
P,P,P,X,"Đáng để xem lắm luôn á, má nào dễ khóc như mình thì nên cân nhắc 🤣, anh Tuấn thì vai nào cũng đẹp trai kkk, còn chú Hoai Linh thì ko có gì để nói, về kĩ thuật mọi thứ liên quan đến diễn thì rất chỉn chu.."
X,X,X,X,Còn gì tuyêth hơn khi xem bede trên màn hình bự nữa 🥲🥲🥲
X,X,X,X,Chắc là mình chưa đủ sâu sắc để có thể hiểu nội dung. Vì mình cũng k am hiểu về lịch sử lắm ạ. Hìcc. Mình ngủ gật mấy lần vì chán 😢. Bạn nào đi xem phải cân nhắc nếu k hiểu về lịch sử như mình. K đọng lại đc gì
X,X,X,X,"phim lan man, k có cao trào"
N,X,X,X,Cách tương tác giữa các nhân vật rất rời rạc.
O,P,X,X,"Lật Mặt 7 - Một điều ước. Bộ film về đề tài tình cảm gia đình, được chú Lý Hải viết về mẹ mình ( theo chị Minh Hà chia sẻ ) tên nhân vật chỉ khác họ, mẹ chú là Phạm Thị Hai, trong fim là Nguyễn Thị Hai. Bộ fim xoay quay câu chuyện về bà Hai và cuộc sống gia"
X,X,X,X,"1 câu chuyện hay về tình bạn từ đầu tới cuối phim, xem tới đoạn kết mà buồn thắt tim. Tri kỉ là 2 từ đúng nhất khi nói về tình bạn này"
O,X,P,P,"Khá hay, kĩ xảo vs âm thanh ko tệ nha, jokes oke hợp lý, cười giải trí, đánh đấm chưa đã lắm, chưa khai thác đc hết sức mạnh của phe phản diện lẫn chính diễn. Tình cảm gia đình và tình bạn đc đề cao. Nch đáng thử, có nhiều cmt chê hơi quá, vẫn nên xem tận mắt"
X,X,X,X,Một bôn phim lấy đi nhiều nước mắt
X,P,X,X,"Quá tuyệt vời về tình cảm gđ , những người con khi còn bé đều muốn lớn lên nuôi mẹ , nhưng khi lớn lên vì 4 chữ cơm áo gạo tiền mà đành để mẹ già 1 mình . Cảm ơn tác giả Lý Hải và tất cả đoàn phim đã mang đến cho ng hâm mộ cũng như toàn thể các bạn trẻ cảm"
P,X,X,X,"Chưa đi xem nhưng nhìn poster thôi cũng thấy hayy rồii,kiểu tình yêu hồi xưa xao xuyến nó tình làm sao á cộng thêm nam chính trước đóng em và trịnh nữa, thấy mê rồi đó"
X,P,X,P,CGV k có bản sub chỉ có bản dub 🥲 xem phim Disney mà nghe hát tiếng Việt là thấy k ổn rồi. Chất lượng và nội dung phim ok.
X,X,X,O,Bài hát trong phim phù hợp với bối cảnh nhưng không để lại nhiều dấu ấn.
X,X,X,P,Đọc truyện rồi nhưng xem phim vẫn thấy tuyệt vời. Nhạc quá hay
X,X,X,X,Phim rất đáng cho các bé xem!❤️
X,X,X,X,Phim ý nghĩa ✨
P,P,N,X,"Nội dung hay , có gợi lại những nhân vật hồi xưa , diễn xuất của ezra thì khỏi nói nếu ko nói về mấy cái scandal ở ngoài của ổng thì ổng diễn rất ok nhưng tệ cái phim này là ở hình ảnh , CGI cứ như thời xưa vậy :)))"
X,X,X,X,"Mình thấy phim rất hay, cảm động nữa. Nên xem nha mọi người ơi."
X,X,X,X,"Phim hay đấy ,hơi dài dòng tí thôi nhưng xem cuốn"
X,X,X,X,"phim siêu hay, ra rạp coai liềnnn đi"
X,P,X,X,"Quá xuất sắc, nội dung phần 2 này đỉnh hơn mong đợi rất nhiều, 10000 điểm"
P,X,X,X,Chị Ver của tôi mãi đỉnh 🫶🏻🫶🏻🫶🏻
X,X,X,X,"Tạm tạm, chưa đủ làm mình thấy kích thích"
X,X,X,N,"Một số cảnh có tiếng động không đồng bộ, gây khó chịu."
X,X,X,X,"Hay, xem mãn nhãn, đã mắt, ko buồn ngủ🤗"
P,P,P,P,"Có thể nói đây là bộ phim mà tôi đã dành hơn 120p để cảm nhận. Nó quá tuyệt từ hỉnh ảnh, diễn viên, câu chuyện, âm nhạc, tính nhân văn và tính văn hoá được thể hiện trong tác phẩm. Và đây cũng là lần đầu tiên tôi nêu cảm nhận cho một bộ phim. Một tác phẩm quá"
N,N,X,X,"Lướt khắp nền tảng chưa thấy ai khen cả. Cmt 8 sao trở lên toàn seeding mấy bạn ơi, chịu khó đọc tí là biết ngay. Chứ nội dung vừa tệ, diễn vừa dở thì :"")"
P,P,P,P,"Ta nói phần 1 đã hay rồi mà phần 2 còn hay hơn, kịch bản chặt chẽ, mê anh Yak từ phần 1 qua tới phần này, khúc anh xuất hiện lại ta nói hét banh rạp, đáng xem lắm nha mọi người ơiii"
P,N,P,N,"Mình không đòi hỏi quá nhiều về phim, chủ yếu xem giải trí. Vs mình thì đoạn gây nước mắt cho khán giả chưa tới mặc dù mình là đứa dễ khóc. Hơi khó hiểu vì nv chính giọng Nam trong khi bối cảnh ngoài Bắc. Dv chính thì visual đỉnh. Nd cũng k có gì mới mẻ, cũng"
X,X,X,X,Rất đẹp
O,X,X,X,"Bộ phim Ngày xưa có một chuyện tình là một tác phẩm điện ảnh sâu lắng và tinh tế về tình yêu tuổi trẻ, đầy hoài niệm và cảm xúc. Bộ phim xoay quanh câu chuyện của ba nhân vật chính: Phúc, Vinh và Miền - những người bạn thân thiết từ thuở nhỏ. Mỗi người đều có"
X,X,X,X,siêu hay luôn cả nhà ơi 😭✨️
X,N,X,X,"Quá dở, nội dung coi xong không hiểu gì hết"
X,X,O,N,"Bối cảnh rất đẹp, nhưng âm thanh kém chất lượng làm giảm đi sự hùng vĩ."
X,X,P,X,Ai nói phim này hay thì cũng đến chịu. Được mỗi cái kỹ xảo khá nét còn lại ko có ấn tượng gì
N,X,X,X,Diễn viên dường như không hiểu được tâm lý nhân vật.
P,O,X,X,"Nên xem kỹ thời gian bộ phim trc khi xem Nếu x.định xem nên chuẩn bị nước bỏng, chăn xem có thoải mái Nhịp và mạch phim chậm, chiều sâu nhân vật mô tả tốt, diễn suất tốt. Hình ảnh 3 nhân vật chính ổn"
O,X,X,X,Các nhân vật tuy không quá ấn tượng nhưng vẫn làm tốt vai trò của mình.
X,X,X,X,"Hay lắm ời ơi , siêu hay luôn , đáng đồng tiền bác gạo 💯 coi đi mấy bảnh ơi , 💯 CÓ NHƯNG - NHƯNG MÀ HAY QUÁ ĐÓ 🫶"
P,P,O,X,"Bộ phim Gia Tài của Ngoại của Thái Lan với lối tiếp cận bình dị là tình cảm gia đình nhưng được đầu tư kỹ lưỡng về sự phát triển tâm lý nhân vật xuất sắc và những hình ảnh, lời thoại rất đời thường. Xem phim khiến mình nhớ lại hình ảnh Bà Nội mình lúc còn sống"
X,X,X,O,"Người mê phim hoạt hình nên đi coi Ai k mê cũng coi rất hay luôn ý Nên coi lồng tiếng hay. Nhưng có 1 sao mình k thích là nhân viên rạp nha🙂đi vô k cầm gì hết ngoài túi sách bé tí đựng ví với điện thoại thì tự nhiên đang coi khúc hay bạn nhân viên lại và dò xét tụi mình kiu là 2 đứa mình đem đồ ăn vào rạp trong khi k có gì hết, k thấy gì bạn đó đi ra và làm lỡ khúc hay của tụi mình. Mong nhân viên rạp chú ý hơn nhé"
O,P,N,X,"phim tuyệt vời, -1 điểm ở nhân viên, và sự cố mất điện của rạp beta mất hơn 20p mới ổn định"
P,P,O,X,Phim hay m.n nên xem. Con trau mình rất thích. Mặc dù chỉ là Robot nhưng nó cũng có cảm tính như con ng. Dù là hoạt hình nhưng mình đã khóc khi gần đến kết phim. Dù nhận nuôi chú ngỗng nhưng Robot luôn có trách nhiệm và hết lòng dạy dỗ chú ngỗng. Giúp chú ấy trưởng thành hơn. Qua bộ phim có thể rút ra được Bài học : Dù không cùng chung dòng máu hay giống loài nhưng hãy mở lòng ra giúp chúng ta trở nên đoàn kết và yêu thương nhau hơn. Biết yêu thương và giúp đỡ lẫn nhau. Giúp đỡ nhau khi gặp khó khăn.. Nói chung là rất ý nghĩa và cảm động
X,N,X,X,10 điểm k có nhưng
O,X,X,X,"Diễn viên chính làm tròn vai, nhưng chưa thật sự nổi bật."
X,P,P,P,"Chưa nói đến phần hình ảnh, nội dung thì phải shoutout cho phần ÂM THANH của DUNE2, quá chi tiết và chỉn chu. Hình ảnh cũng hết sức mãn nhãn và tỉ mỉ, nhất là những cảnh sâu cát hay cháy nổ,.. 2/3 câu chuyện khá là làm mình thấy cuốn, nhưng đến lúc cảnh đánh hoàng đế và về sau thì có vẻ hơi rush. Anw, Dune2 đáng xem và nên trải nghiệm ở IMAX"
N,N,N,X,"1 bộ phim bước ra khỏi rạp mà cảm giác phí tiền và phí thời gian 1h30 phút xem thực sự… không hiểu sao những bộ phim rác như này vẫn được cho ra rạp chiếu. Phim thì ngắn, nội dung thì tệ, diễn viên thì diễn rất sượng không nhập vai… nhìn diễn viên diễn cảnh"
N,X,X,N,Bộ phim đáng thất vọng từ diễn viên cho tới âm thanh.
X,X,X,O,"Âm thanh trong các cảnh gay cấn chưa đạt đến mức xuất sắc, nhưng vẫn ổn."
N,X,X,X,Không có sự kết nối giữa các diễn viên.
X,P,N,X,"phim hay nha trời , phần 1 hay rồi phần 2 cũng hay nữa, coi nhiều phim ma rồi mà vẫn bị hù giựt mình pặc pặc, mà kh thích là gần hết phim lotte đà nẵng tắt điều hoà, nv không đóng cửa khi phim chiếu , ngồi nóng quá trời, chắc do coi suất cuối và vắng nên bị"
X,N,X,X,cốt truyện quá dở.. bik cắt bỏ khúc máu me đầy sàn
X,P,P,X,"Phim hình ảnh đẹp, tình tiết nhẹ nhàng. Tuy không có cao trào nhưng xem không bị chán. Nhiều đoạn hài hước. Nói chung là một phim đáng để ra rạp xem nha 🥹"
X,X,X,X,Mình cho bé đi xem cũng OK nhé. Có thể tham khảo xem
X,X,N,N,"Các cảnh hành động thiếu chân thực, tiếng súng và tiếng nổ nghe rất giả tạo."
X,X,X,X,Hay nha nên xem ạ
X,P,X,X,Phần 1 là phim hay nhất năm 2022. Phần 2 khá là ổn. Rất logic + mạch lạc + nhiều bất ngờ
P,O,O,X,"Nếu nói về phim kinh dị phim này đủ kinh dị. Cốt truyện có thay đổi, Nhưng cũng tương tự. Chỉ có khúc cuối nếu Tấm sống lại thì hay hơn. Nói chung là đáng xem. Tấm và Cám ai cũng xinh 🥰🥰"
X,P,P,X,Phim hay ngang ngửa bộ Lời nguyền huyết ngải luôn á. Má ơi nó huyền bí mà nó ghê dã man nhưng mà nó có liên kết từng vụ án đều có liên kết và nội dung phim nó mạch lạc lắm mng Đáng xem nha Hong biết tại sao có nhiều bình luận chê nhạt nữa mà tui coi thì tui muốn
X,X,X,P,"Recommend nên đi xem nha, dù movie này ít tình huống nhẹ nhàng hơn so với các movie khác nhưng xem phim nghe nhạc trong đó vui mà mình vui lây á, hát đáng yêu mà hay 🫶🏻"
X,X,X,X,"Ổn, đáng để xem lắm í."
O,X,X,X,"Biểu cảm của các nhân vật khá đều đặn, nhưng không tạo được cảm xúc mạnh mẽ."
N,N,O,P,Phim này chỉ đc hình ảnh đẹp còn nội dung cứ bị nông nông ấy. Xem hơn trăm phút k thấy đoạn nào thật sự cao trào. Chuyện kể về Linh ng con gái bị bót lột áp bức đủ thứ - hình ảnh ng pn xưa và tìm cách trốn cùng ny là Nhân. Nói chung nó không truyền tải được gì
X,X,X,X,Phim cute lắm mọi người ơi. Cười liên tục gia đình nào có bé dẫn đi theo xem nhé bé sao vs bé dê cute lắm luôn =]]]]
X,P,X,X,"phim hay, nội dung ý nghĩa theo hai hướng"
O,X,X,X,"Một số đoạn hội thoại thiếu cảm xúc, nhưng không làm giảm chất lượng chung."
O,X,O,X,"Không quá kỳ vọng vào khả năng làm phim của DC cơ mà cũng không đến nỗi quá tệ. Coi như phim là một cú chuyển universe để reset game chơi lại từ đầu cho DC. Hình ảnh phim khá classic do phim có yếu tố time travel, nhiều gương mặt cũ đã vào vai các nhân vật"
X,X,X,N,"Giọng lồng tiếng quá cứng nhắc, không tự nhiên chút nào."
N,X,X,X,Một số diễn viên phụ như không hiểu vai diễn của mình.
O,X,X,X,"nhện này bình thường, ko bắn tơ đc, cũng ko khỏe lắm lại còn khá giống giáo sư trong Xman.... cái này demo cho chuỗi phim thì đc chứ còn làm movie thì ko ok lắm"
P,X,X,X,Fubao rất dễ thương và tình cảm. Cả gia đình đều cute
X,X,X,X,Ngầu lắm á mn. Xuất sắc cho bộ phim cuối năm 😘
O,X,X,X,"Tương tác giữa các nhân vật khá tự nhiên, nhưng thiếu sự ăn ý."
O,X,X,X,Các diễn viên tuy không quá ấn tượng nhưng vẫn làm tốt vai trò của mình.
X,O,X,X,Cốt truyện không có gì phải bất ngờ lắm nhưng chuỗi series Gozilla-Kong là 1 cái gì đó RẤT CUỐN 🥰🥰
N,N,N,N,"Phim rời rạc, tình tiết vô lý, linh ta linh tinh. Chả có tí gì liên quan minh hôn. Đoạn cuối đáng ra xúc động nhất mà cả rạp phải cười lên vì sự vớ vẩn của đạo diễn. Nói chung lấy tiền ăn bò né còn ngon hơn. Âm thanh ráng để to vào hù chứ chả sợ"
X,P,P,X,"Phim hàn chưa bao giờ làm mình thất vọng, nd phim mới mẻ lôi cuốn hiệu ứng phim đẹp có sự đầu tư kĩ , từng cảnh từng phân khúc đều liên kết khán giả như mình khó đoán được diễn biến tiếp theo, mn đi xem và cảm nhận thử nhé ok lắm"
X,X,X,X,em cần pass vé lúc 9g30 1 xị zui zẻ thuii ạ tại kẹt giờ đi k kịp huhu cíu bé
X,O,X,O,"Nội dung thì có ý nghĩa, tính nhân văn. Nhưng mà hát quá chời hát, vừa vô phim quất mấy bài tui ngủ gục luôn. Mà thay vì để chị Hà Nhi hát cho nữ chính thì 2 bạn lồng tiếng hát luôn cho 2 nhân vật. Ta nói nó na ná “ôi hoàng tử hãy tha thứ cho người em gái ….”"
X,O,X,X,"nhịp chậm, nhìn quanh rạp ngủ quá trời, k hay k dở"
X,X,X,X,"Rất cảm động,"
O,P,P,P,"Phim lấy ý tưởng khá quen thuộc là robot phát triển tình cảm, nhân cách. Cốt truyện cũng ổn áp, màu phim hình ảnh đẹp có đầu tư, tình tiết cao trào cũng khá tốt. Cơ mà kết phim hơi lãng nhẹ, phải chi kết phim đầu tư thêm xíu nữa sẽ trọn vẹn hơn. Lồng tiếng hay "
P,X,X,P,"một lời tri ân dành cho cố diễn viên Chadwick Boseman, lâu rồi chưa xem bộ phim nào mà ko nén đc sự xúc động như lần này, nhạc phim hay, after credit đắt giá, không có gì để chê."
O,N,X,X,"Phim thiếu chiều sâu, không có tình tiết nào hấp dẫn, phim kinh dị mà chủ yếu kể về cuộc đời của nhân vật chính"
X,X,X,X,"Xem phim rất muốn khóc, vì được nhìn thấy bản thân trong đó"
P,P,X,X,"Dàn diễn viên thực lực. Phim nặng về yếu tố chính trị và phong tục tập quán, tín ngưỡng, hiểu sẽ thấy rất hay và sâu sắc, còn yếu tố kinh dị là phụ. Ngoài lề thì mình thấy PR phim mác kinh dị vô hình chung làm khán giả có những mong đợi khác."
